Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
191017-001572,,,,Daños Materiales Autos,Usuario WS,FDU - Call Center,,,Solucionado,,65251,760489,,AUS1 - AUTOMOTORES,2924288,,4471210,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2019-10-17 17:46:34','2019-10-17 17:46:34',Resuelto,,
191018-000233,,,,Pago Telefonico,Cecilia Turco Greco,Llamada entrante,,,Solucionado,,,560181,,AUS1 - AUTOMOTORES,2924800,,2908999,Pago telefónico,,,,'2021-04-28 13:20:00','2019-10-18 10:02:37','2019-10-21 08:35:56',Resuelto,,
191018-000519,,,,Emisión Cartera Gral.,Gabriela Miranda,Canal productor,,,Solucionado,,,760797,,HOC1 - SEGURO DEL HOGAR,2925056,,4444606,Alta de póliza con inspección,,,'2019-10-31 08:42:37','2021-04-28 13:20:00','2019-10-18 11:24:48','2019-10-31 13:52:13',Resuelto,,
191018-000789,,,,Supervisores CAC,Lionel Glasberg,Llamada entrante,,,Solucionado,,,,,Seguros Todos,2925312,,2737648,Cliente a contactar - Siniestro,,,,'2021-04-28 13:20:00','2019-10-18 12:45:13','2019-10-20 11:34:40',Atendido,,
191018-001056,,,,Emisión Masivos,Usuario WS,Oficina Virtual,brisa.diaz,,Solucionado,,3281,760991,,HOM1 - SEGURO DEL HOGAR,2925568,,1526833,Precio,,2019-10-18,,'2021-04-28 13:20:00','2019-10-18 14:31:05','2019-10-18 14:31:05',Resuelto,,
191018-001320,,,,Juicios / mediaciones daños,Iara Benigno,Llamada entrante,,,Solucionado,,252190,761090,,AUT1 - AUTOMOTORES,2925824,,7702650,Tercero - Lesionado,,,,'2021-04-28 13:20:00','2019-10-18 16:05:38','2019-10-22 15:58:13',Resuelto,,
191019-000041,,Envío de documentación,Contactenos Patrimoniales Zurich,Customer Support,Eugenia Bartolomé,Llamada entrante,,,Solucionado,,,549016,,AUS1 - AUTOMOTORES,2926336,,3613546,Documentación para enviar por fax/email,,,'2019-10-21 15:46:52','2021-04-28 13:20:00','2019-10-19 09:53:46','2019-10-21 15:46:52',Resuelto,,
191020-000079,,Tarjeta de Circulacion,,Mailing,Usuario WS,Llamada entrante,,,Solucionado,,,759351,,AUS1 - AUTOMOTORES,2926592,,3264766,Certificado Mercosur/tarjeta de circulación,,,'2019-10-20 18:21:49','2021-04-28 13:20:00','2019-10-20 18:21:49','2019-10-20 18:21:49',Resuelto,,
191021-000228,,,,Daños Materiales Autos,Usuario WS,FDU - Call Center,,,Solucionado,,65852,761539,,AUS1 - AUTOMOTORES,2926848,,7726681,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2019-10-21 09:48:46','2019-10-21 09:48:46',Resuelto,,
191021-000770,,,,Daños Materiales Autos,Usuario WS,FDU - Call Center,62000060,,Solucionado,,252550,761728,,AUT1 - AUTOMOTORES,2927360,,4684200,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2019-10-21 11:52:31','2019-10-21 11:52:31',Resuelto,,
