Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161110-157777,,Incidente importado desde SAC,,Oficina Rosario,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,474186,,2321594,Riesgos Varios Rosario,,,,'2021-04-28 13:20:00','2016-11-10 20:59:52','2016-11-10 20:59:52',Resuelto,,
161110-157780,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474189,,4476513,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:59:54','2016-11-10 20:59:54',Atendido,,
161110-157783,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474192,,2713777,Cambio de campaña,,,,'2021-04-28 13:20:00','2016-11-10 20:59:54','2016-11-10 20:59:54',Resuelto,,
161110-157786,,Incidente importado desde SAC,,Mailing,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474195,,3517216,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 20:59:54','2016-11-10 20:59:54',Resuelto,,
161110-157792,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474201,,842718,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:59:55','2016-11-10 20:59:55',Resuelto,,
161110-157796,,Incidente importado desde SAC,,Mailing,Usuario Importador,Telemarketing,,,Solucionado,,,,,APL1 - AUTOMOTORES PLANES,474205,,3355873,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 20:59:55','2016-11-10 20:59:55',Resuelto,,
161110-157799,,Incidente importado desde SAC,,Inspecciones Autos,Usuario Importador,Especialistas,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474208,,7044210,,,,,'2021-04-28 13:20:00','2016-11-10 20:59:56','2016-11-10 20:59:56',Resuelto,,
161110-157801,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474210,,3560326,Pago telefónico,,,,'2021-04-28 13:20:00','2016-11-10 20:59:56','2016-11-10 20:59:56',Resuelto,,
161110-157808,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,474217,,2806311,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:59:56','2016-11-10 20:59:56',Resuelto,,
161110-157830,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,474239,,3445155,No califica,,,,'2021-04-28 13:20:00','2016-11-10 20:59:58','2016-11-10 20:59:58',No Procedente,,
161110-157835,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474244,,3208504,No califica,,,,'2021-04-28 13:20:00','2016-11-10 20:59:59','2016-11-10 20:59:59',Resuelto,,
161110-157836,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474245,,1368664,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:59:59','2016-11-10 20:59:59',Atendido,,
161110-157838,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474247,,3717707,Pago telefónico,,,,'2021-04-28 13:20:00','2016-11-10 20:59:59','2016-11-10 20:59:59',Resuelto,,
161110-157847,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,474256,,6682505,Riesgos Varios Casa Central,,,,'2021-04-28 13:20:00','2016-11-10 21:00:00','2016-11-10 21:00:00',Resuelto,,
161110-157849,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474258,,7611931,No califica,,,,'2021-04-28 13:20:00','2016-11-10 21:00:00','2016-11-10 21:00:00',Resuelto,,
161110-157854,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474263,,5356777,Recotización,,,,'2021-04-28 13:20:00','2016-11-10 21:00:00','2016-11-10 21:00:00',Resuelto,,
161110-157856,,Incidente importado desde SAC,,,Usuario Importador,Canal productor,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474265,,3599174,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 21:00:00','2016-11-10 21:00:00',Atendido,,
161110-157860,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474269,,3545853,Inclusión de GNC,,,,'2021-04-28 13:20:00','2016-11-10 21:00:01','2016-11-10 21:00:01',Resuelto,,
161110-157865,,Incidente importado desde SAC,,Telemarketing,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474274,,2855596,Propuesta incompleta,,,,'2021-04-28 13:20:00','2016-11-10 21:00:01','2016-11-10 21:00:01',Resuelto,,
161110-157879,,Incidente importado desde SAC,,Mailing,Usuario Importador,Telemarketing,,,Solucionado,,,,,APR1 - AUTOMOTORES,474288,,217376,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 21:00:02','2016-11-10 21:00:02',Resuelto,,
161110-157880,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474289,,1898189,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 21:00:02','2016-11-10 21:00:02',Atendido,,
161110-157882,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474291,,4290554,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 21:00:02','2016-11-10 21:00:02',Resuelto,,
161110-157909,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474318,,3605666,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 21:00:04','2016-11-10 21:00:04',Resuelto,,
161110-157912,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474321,,3684604,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 21:00:04','2016-11-10 21:00:04',Atendido,,
161110-157914,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474323,,4301752,Rechazos/ Reducción de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 21:00:04','2016-11-10 21:00:04',Resuelto,,
161110-157921,,Incidente importado desde SAC,,Gerencia Productores,Usuario Importador,Canal productor,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474330,,1814556,Excepción comercial altas,,,,'2021-04-28 13:20:00','2016-11-10 21:00:04','2016-11-10 21:00:04',Resuelto,,
161110-157923,,Incidente importado desde SAC,,Oficina Cordoba,Usuario Importador,Canal productor,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474332,,5703722,Facturación,,,,'2021-04-28 13:20:00','2016-11-10 21:00:05','2016-11-10 21:00:05',Resuelto,,
161110-157924,,Incidente importado desde SAC,,Inspecciones Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474333,,3356348,Inspección por previa DDJJ,,,,'2021-04-28 13:20:00','2016-11-10 21:00:05','2016-11-10 21:00:05',Resuelto,,
161110-157931,,Incidente importado desde SAC,,Inspecciones Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474340,,6588869,Inspección por previa DDJJ,,,,'2021-04-28 13:20:00','2016-11-10 21:00:05','2016-11-10 21:00:05',Resuelto,,
161110-157936,,Incidente importado desde SAC,,Oficina Cordoba,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474345,,4136665,Destrucción Total,,,,'2021-04-28 13:20:00','2016-11-10 21:00:06','2016-11-10 21:00:06',Resuelto,,
161110-157937,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474346,,5849200,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 21:00:06','2016-11-10 21:00:06',Atendido,,
161110-157944,,Incidente importado desde SAC,,Mailing,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,474353,,2508021,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 21:00:08','2016-11-10 21:00:08',Resuelto,,
161110-157946,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474355,,3797932,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 21:00:08','2016-11-10 21:00:08',Atendido,,
161110-157948,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Especialistas,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474357,,652436,Modificación medio de pago,,,,'2021-04-28 13:20:00','2016-11-10 21:00:08','2016-11-10 21:00:08',Resuelto,,
161110-157949,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,474358,,4619948,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 21:00:08','2016-11-10 21:00:08',Atendido,,
161110-157954,,Incidente importado desde SAC,,Cobranzas Automático,Usuario Importador,Telemarketing,,,Solucionado,,,,,ATD1 - ROBO/USUAR.T.DEB-CRE,474363,,464865,No califica,,,,'2021-04-28 13:20:00','2016-11-10 21:00:09','2016-11-10 21:00:09',Resuelto,,
