Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
190809-000196,,,,Cobranzas Automático,Ana Mariela Borzone,Llamada entrante,,,Solucionado,,,722265,,ATA1 - ROB/USUA.T.DB/CR(03),2824448,,3337043,Cambio segmento Premier/Advance - A consultar,,,,'2021-04-28 13:20:00','2019-08-09 10:04:54','2019-08-16 16:30:07',Resuelto,,
190809-000492,,Certificado de Cobertura,,Mailing,Usuario WS,Llamada entrante,,,Solucionado,,,505253,,AUS1 - AUTOMOTORES,2824704,,6911731,Certificado de cobertura,,,'2019-08-09 11:22:31','2021-04-28 13:20:00','2019-08-09 11:22:31','2019-08-09 11:22:31',Resuelto,,
190809-000762,,,,Emisión Masivos,Matias Gomez,Llamada entrante,,,Solucionado,,,722489,,PRI1 - PROTECCION INTEGRAL GENERAL,2824960,,9015403,Decisión del asegurado,,2019-08-09,,'2021-04-28 13:20:00','2019-08-09 12:28:09','2019-08-09 12:28:09',Resuelto,,
190809-001018,,,,Emisión Masivos,Ana Mariela Borzone,Llamada entrante,,,Solucionado,,,518970,,AUS1 - AUTOMOTORES,2825216,,7922882,4 cuotas con un descuento del 25 %,,,,'2021-04-28 13:20:00','2019-08-09 13:37:54','2019-08-09 15:41:44',Resuelto,,
190809-001310,,Póliza de AutoScoring,,Mailing,Usuario WS,Llamada entrante,,,Solucionado,,,545120,,AUS1 - AUTOMOTORES,2825472,,3823072,Copia de póliza,,,'2019-08-09 15:15:51','2021-04-28 13:20:00','2019-08-09 15:15:51','2019-08-09 15:15:51',Resuelto,,
190809-001580,,,,Emisión Masivos,Usuario WS,Oficina Virtual,CRM,,Solucionado,,3281,682568,,AUS1 - AUTOMOTORES,2825728,,4497619,Decisión del asegurado,,2019-08-09,,'2021-04-28 13:20:00','2019-08-09 16:47:18','2019-08-09 16:47:18',Resuelto,,
190809-001846,,,,Daños Materiales Autos,Usuario WS,FDU - Call Center,,,Solucionado,,199282,722868,,AUS1 - AUTOMOTORES,2825984,,679276,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2019-08-09 18:52:54','2019-08-09 18:52:54',Resuelto,,
190810-000174,,,,Emisión Masivos,Romina Lenhard,Llamada entrante,,,Solucionado,,,722965,,APR1 - AUTOMOTORES,2826240,,7942875,Patente - Motor - Chasis,,,,'2021-04-28 13:20:00','2019-08-10 16:18:08','2019-08-12 11:58:13',Resuelto,,
190812-000555,,Certificado de Mercosur,,Mailing,Usuario WS,Llamada entrante,,,Solucionado,,,723103,,AUS1 - AUTOMOTORES,2827008,,5745038,Certificado Mercosur/tarjeta de circulación,,,'2019-08-12 09:23:16','2021-04-28 13:20:00','2019-08-12 09:23:16','2019-08-12 09:23:16',Resuelto,,
190812-000801,,,,Cobranzas Automático,Mariana Sosa,Llamada entrante,,,Solucionado,,,717398,,HOM1 - SEGURO DEL HOGAR,2827264,,7115925,Reintegro - Automático,,,,'2021-04-28 13:20:00','2019-08-12 10:33:05','2019-08-13 16:22:40',Resuelto,,
