Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161111-139123,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,644191,,7307421,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-11 01:55:17','2016-11-11 01:55:17',Resuelto,,
161111-139125,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,644193,,3413319,Rechazos/ Reducción de cobertura,,,,'2021-04-28 13:20:00','2016-11-11 01:55:17','2016-11-11 01:55:17',Resuelto,,
161111-139126,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,644194,,3400461,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-11 01:55:17','2016-11-11 01:55:17',Resuelto,,
161111-139133,,Incidente importado desde SAC,,Drive in Libertador,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,644201,,7440462,Daños materiales drive in Libertador,,,,'2021-04-28 13:20:00','2016-11-11 01:55:17','2016-11-11 01:55:17',Resuelto,,
161111-139142,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta Documento,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,644210,,1411162,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-11 01:55:18','2016-11-11 01:55:18',Resuelto,,
161111-139145,,Incidente importado desde SAC,,Inspecciones Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,644213,,4881290,Inspección por previa DDJJ,,,,'2021-04-28 13:20:00','2016-11-11 01:55:18','2016-11-11 01:55:18',Resuelto,,
161111-139146,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,644214,,474915,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-11 01:55:18','2016-11-11 01:55:18',Resuelto,,
161111-139154,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUI1 - AUTOMOTORES INSTITUCIONES,644222,,1425328,Modificaciones datos del producto,,,,'2021-04-28 13:20:00','2016-11-11 01:55:19','2016-11-11 01:55:19',Resuelto,,
161111-139159,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,644227,,3592503,No califica,,,,'2021-04-28 13:20:00','2016-11-11 01:55:19','2016-11-11 01:55:19',Resuelto,,
161111-139161,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,644229,,3916782,No califica,,,,'2021-04-28 13:20:00','2016-11-11 01:55:20','2016-11-11 01:55:20',Resuelto,,
161111-139168,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,644236,,395230,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-11 01:55:20','2016-11-11 01:55:20',Atendido,,
161111-139169,,Incidente importado desde SAC,,Fleet Services,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUT1 - AUTOMOTORES,644237,,2146836,Contacto del tercero,,,,'2021-04-28 13:20:00','2016-11-11 01:55:20','2016-11-11 01:55:20',Resuelto,,
