Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161110-147783,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,464192,,5530767,Ampliación de Cobertura con inspección,,,,'2021-04-28 13:20:00','2016-11-10 20:41:50','2016-11-10 20:41:50',Resuelto,,
161110-147784,,Incidente importado desde SAC,,Cobranzas Automático,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464193,,3859757,Rechazos/ Reducción de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 20:41:50','2016-11-10 20:41:50',Resuelto,,
161110-147785,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Especialistas,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464194,,2898337,Anulación de propuesta,,,,'2021-04-28 13:20:00','2016-11-10 20:41:50','2016-11-10 20:41:50',Resuelto,,
161110-147796,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464205,,3734617,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:41:51','2016-11-10 20:41:51',Resuelto,,
161110-147809,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464218,,7161003,Corrección de propuesta,,,,'2021-04-28 13:20:00','2016-11-10 20:41:51','2016-11-10 20:41:51',Resuelto,,
161110-147811,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,APL1 - AUTOMOTORES PLANES,464220,,7239704,Daños materiales Casa Central,,,,'2021-04-28 13:20:00','2016-11-10 20:41:51','2016-11-10 20:41:51',Resuelto,,
161110-147812,,Incidente importado desde SAC,,Emisión Cartera Gral.,Usuario Importador,Carta,,,Solucionado,,,,,AUT1 - AUTOMOTORES,464221,,4413413,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:41:51','2016-11-10 20:41:51',Resuelto,,
161110-147814,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464223,,3702617,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:41:52','2016-11-10 20:41:52',Resuelto,,
161110-147823,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464232,,2049501,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:41:52','2016-11-10 20:41:52',Atendido,,
161110-147825,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,464234,,1141380,Propuesta incompleta,,,,'2021-04-28 13:20:00','2016-11-10 20:41:52','2016-11-10 20:41:52',Resuelto,,
161110-147838,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464247,,5447401,4 cuotas con un descuento del 25 %,,,,'2021-04-28 13:20:00','2016-11-10 20:41:53','2016-11-10 20:41:53',Resuelto,,
161110-147839,,Incidente importado desde SAC,,Emisión Cartera Gral.,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUT1 - AUTOMOTORES,464248,,2742221,Cláusulas de Subrogación,,,,'2021-04-28 13:20:00','2016-11-10 20:41:53','2016-11-10 20:41:53',Resuelto,,
161110-147847,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464256,,4388636,Modificaciones datos del producto,,,,'2021-04-28 13:20:00','2016-11-10 20:41:54','2016-11-10 20:41:54',Resuelto,,
161110-147848,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,464257,,5440732,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:41:54','2016-11-10 20:41:54',Resuelto,,
161110-147853,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464262,,1324500,4 cuotas con un descuento del 25 %,,,,'2021-04-28 13:20:00','2016-11-10 20:41:54','2016-11-10 20:41:54',Resuelto,,
161110-147860,,Incidente importado desde SAC,,Mailing,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464269,,3450576,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 20:41:54','2016-11-10 20:41:54',Resuelto,,
161110-147866,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464275,,7037934,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:41:55','2016-11-10 20:41:55',Atendido,,
161110-147869,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464278,,3398767,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:41:55','2016-11-10 20:41:55',Atendido,,
161110-147872,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464281,,3515726,Daños materiales Casa Central,,,,'2021-04-28 13:20:00','2016-11-10 20:41:55','2016-11-10 20:41:55',Resuelto,,
161110-147877,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464286,,5934897,No califica,,,,'2021-04-28 13:20:00','2016-11-10 20:41:55','2016-11-10 20:41:55',Resuelto,,
161110-147884,,Incidente importado desde SAC,,Cobranzas Automático,Usuario Importador,Comercial,,,Solucionado,,,,,ATD1 - ROBO/USUAR.T.DEB-CRE,464293,,7343904,No califica,,,,'2021-04-28 13:20:00','2016-11-10 20:41:56','2016-11-10 20:41:56',Resuelto,,
161110-147885,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464294,,3515966,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:41:56','2016-11-10 20:41:56',Resuelto,,
161110-147894,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464303,,912303,4 cuotas con un descuento del 25 %,,,,'2021-04-28 13:20:00','2016-11-10 20:41:57','2016-11-10 20:41:57',Resuelto,,
161110-147896,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464305,,6951278,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:41:57','2016-11-10 20:41:57',Resuelto,,
161110-147897,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464306,,3127846,Venta,,,,'2021-04-28 13:20:00','2016-11-10 20:41:57','2016-11-10 20:41:57',Resuelto,,
161110-147900,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464309,,4314078,Facturación,,,,'2021-04-28 13:20:00','2016-11-10 20:41:57','2016-11-10 20:41:57',Anulado,,
161110-147902,,Incidente importado desde SAC,,Mailing,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUI1 - AUTOMOTORES INSTITUCIONES,464311,,6955338,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 20:41:57','2016-11-10 20:41:57',Resuelto,,
161110-147903,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUI1 - AUTOMOTORES INSTITUCIONES,464312,,5525202,Endosos CAC,,,,'2021-04-28 13:20:00','2016-11-10 20:41:58','2016-11-10 20:41:58',Resuelto,,
161110-147915,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464324,,4539461,Rechazos/ Reducción de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 20:41:58','2016-11-10 20:41:58',Resuelto,,
161110-147921,,Incidente importado desde SAC,,Mailing,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464330,,5240379,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 20:42:00','2016-11-10 20:42:00',Resuelto,,
161110-147926,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464335,,401329,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:42:00','2016-11-10 20:42:00',Atendido,,
161110-147935,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464344,,5562796,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:42:02','2016-11-10 20:42:02',Resuelto,,
161110-147950,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464359,,2703601,4 cuotas con un descuento del 25 %,,,,'2021-04-28 13:20:00','2016-11-10 20:42:03','2016-11-10 20:42:03',Resuelto,,
161110-147951,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,464360,,2194248,No califica,,,,'2021-04-28 13:20:00','2016-11-10 20:42:03','2016-11-10 20:42:03',Resuelto,,
161110-147962,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464371,,2841796,Rechazos/ Reducción de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 20:42:03','2016-11-10 20:42:03',Resuelto,,
161110-147973,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Especialistas,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464382,,2475125,Modificación medio de pago,,,,'2021-04-28 13:20:00','2016-11-10 20:42:04','2016-11-10 20:42:04',Resuelto,,
161110-147975,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,464384,,3546763,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:42:04','2016-11-10 20:42:04',Resuelto,,
161110-147976,,Incidente importado desde SAC,,Oficina Mar del Plata,Usuario Importador,Telemarketing,,,Solucionado,,,,,APR1 - AUTOMOTORES,464385,,3452664,Daños materiales Mar del Plata,,,,'2021-04-28 13:20:00','2016-11-10 20:42:04','2016-11-10 20:42:04',Resuelto,,
161110-147977,,Incidente importado desde SAC,,Oficina Mendoza,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464386,,4915359,Daños materiales drive in La Plata,,,,'2021-04-28 13:20:00','2016-11-10 20:42:04','2016-11-10 20:42:04',Resuelto,,
161110-147982,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464391,,3896864,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:42:05','2016-11-10 20:42:05',Atendido,,
161110-147984,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464393,,5244016,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:42:05','2016-11-10 20:42:05',Atendido,,
161110-147995,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464404,,3567855,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:42:05','2016-11-10 20:42:05',Atendido,,
161110-147999,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464408,,935928,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:42:05','2016-11-10 20:42:05',Resuelto,,
161110-148000,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464409,,4492786,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:42:06','2016-11-10 20:42:06',Atendido,,
161110-148002,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464411,,2212597,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:42:06','2016-11-10 20:42:06',Atendido,,
161110-148003,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464412,,243732,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:42:06','2016-11-10 20:42:06',Resuelto,,
161110-148008,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464417,,5241104,4 cuotas con un descuento del 25 %,,,,'2021-04-28 13:20:00','2016-11-10 20:42:06','2016-11-10 20:42:06',Resuelto,,
161110-148012,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,APR1 - AUTOMOTORES,464421,,3639120,Rechazos/ Reducción de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 20:42:07','2016-11-10 20:42:07',Resuelto,,
161110-148016,,Incidente importado desde SAC,,Cobranzas Automático,Usuario Importador,Comercial,,,Solucionado,,,,,ATD1 - ROBO/USUAR.T.DEB-CRE,464425,,3180084,No califica,,,,'2021-04-28 13:20:00','2016-11-10 20:42:07','2016-11-10 20:42:07',Resuelto,,
161110-148022,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,464431,,5500622,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:42:08','2016-11-10 20:42:08',Resuelto,,
161110-148028,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464437,,4487148,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:42:08','2016-11-10 20:42:08',Atendido,,
161110-148034,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464443,,4416260,Modificaciones datos del producto,,,,'2021-04-28 13:20:00','2016-11-10 20:42:08','2016-11-10 20:42:08',Resuelto,,
161110-148037,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464446,,3460379,Anulación de propuesta,,,,'2021-04-28 13:20:00','2016-11-10 20:42:08','2016-11-10 20:42:08',Resuelto,,
161110-148043,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464452,,3537547,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 20:42:09','2016-11-10 20:42:09',Resuelto,,
161110-148045,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,464454,,1787582,Pago telefónico,,,,'2021-04-28 13:20:00','2016-11-10 20:42:09','2016-11-10 20:42:09',Resuelto,,
161110-148049,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464458,,956390,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:42:09','2016-11-10 20:42:09',Atendido,,
161110-148058,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,464467,,6676319,Venta,,,,'2021-04-28 13:20:00','2016-11-10 20:42:10','2016-11-10 20:42:10',Resuelto,,
161110-148059,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464468,,3559650,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:42:10','2016-11-10 20:42:10',Atendido,,
161110-148064,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,464473,,3770955,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 20:42:10','2016-11-10 20:42:10',Atendido,,
