Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161110-097778,,Incidente importado desde SAC,,Mailing,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,414191,,2709012,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-11-10 18:52:07','2016-11-10 18:52:07',Resuelto,,
161110-097781,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Canal productor,,,Solucionado,,,,,AUS1 - AUTOMOTORES,414194,,1301174,Venta,,,,'2021-04-28 13:20:00','2016-11-10 18:52:07','2016-11-10 18:52:07',Resuelto,,
161110-097787,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,APL1 - AUTOMOTORES PLANES,414200,,2058453,Endosos CAC,,,,'2021-04-28 13:20:00','2016-11-10 18:52:09','2016-11-10 18:52:09',Resuelto,,
161110-097789,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta,,,Solucionado,,,,,AUS1 - AUTOMOTORES,414202,,888899,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 18:52:10','2016-11-10 18:52:10',Resuelto,,
161110-097803,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,414216,,4434646,4 cuotas con un descuento del 25 %,,,,'2021-04-28 13:20:00','2016-11-10 18:52:14','2016-11-10 18:52:14',Resuelto,,
161110-097804,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Especialistas,,,Solucionado,,,,,AUS1 - AUTOMOTORES,414217,,872166,Modificaciones datos del producto,,,,'2021-04-28 13:20:00','2016-11-10 18:52:14','2016-11-10 18:52:14',Resuelto,,
161110-097805,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,414218,,1359766,Cliente para retención,,,,'2021-04-28 13:20:00','2016-11-10 18:52:15','2016-11-10 18:52:15',Atendido,,
161110-097812,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,414225,,6739465,10 cuotas con un descuento del 15 %,,,,'2021-04-28 13:20:00','2016-11-10 18:52:15','2016-11-10 18:52:15',Resuelto,,
161110-097821,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,414234,,1359766,Baja de póliza,,,,'2021-04-28 13:20:00','2016-11-10 18:52:17','2016-11-10 18:52:17',Resuelto,,
161110-097833,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,414246,,3459857,Propuesta incompleta,,,,'2021-04-28 13:20:00','2016-11-10 18:52:18','2016-11-10 18:52:18',Resuelto,,
